Entrez_Gene_Id,DepMap_ID
160419,ACH-000128
7157,ACH-000128
8631,ACH-000128
0,ACH-000128
10887,ACH-000128
49854,ACH-000128
2917,ACH-000128
100129128,ACH-000128
0,ACH-000129
54207,ACH-000129
5290,ACH-000129
7903,ACH-000129
6296,ACH-000130
4225,ACH-000130
5506,ACH-000130
8216,ACH-000131
23500,ACH-000131
63923,ACH-000132
60676,ACH-000132
56776,ACH-000132
128025,ACH-000132
57512,ACH-000132
344558,ACH-000132
8646,ACH-000132
158401,ACH-000132
7143,ACH-000133
6262,ACH-000133
81328,ACH-000133
144501,ACH-000133
5204,ACH-000133
7157,ACH-000133
55840,ACH-000133
91584,ACH-000133
4893,ACH-000135
146330,ACH-000135
7157,ACH-000135
79776,ACH-000135
79368,ACH-000136
5286,ACH-000136
738,ACH-000136
1404,ACH-000136
2170,ACH-000137
5728,ACH-000137
2620,ACH-000137
7157,ACH-000137
79843,ACH-000137
8216,ACH-000137
25924,ACH-000137
1371,ACH-000137
54798,ACH-000137
56977,ACH-000137
774,ACH-000137
23334,ACH-000138
8500,ACH-000138
3845,ACH-000138
84166,ACH-000138
7157,ACH-000138
7273,ACH-000138
126859,ACH-000139
83872,ACH-000139
256364,ACH-000139
143689,ACH-000139
3845,ACH-000139
4324,ACH-000139
147409,ACH-000139
493860,ACH-000140
6011,ACH-000140
324,ACH-000140
2625,ACH-000141
51773,ACH-000141
11183,ACH-000141
4089,ACH-000141
8529,ACH-000141
80731,ACH-000141
8942,ACH-000141
7701,ACH-000141
8635,ACH-000141
23288,ACH-000141
64478,ACH-000141
27130,ACH-000141
7093,ACH-000142
51338,ACH-000142
26276,ACH-000142
7157,ACH-000142
5290,ACH-000142
1767,ACH-000142
10917,ACH-000142
1993,ACH-000142
138474,ACH-000142
138804,ACH-000142
7157,ACH-000143
26115,ACH-000143
81832,ACH-000143
57466,ACH-000143
1993,ACH-000143
3933,ACH-000143
353145,ACH-000144
219793,ACH-000144
7157,ACH-000144
81033,ACH-000144
54963,ACH-000144
1767,ACH-000144
285643,ACH-000144
2853,ACH-000144
259286,ACH-000144
389763,ACH-000144
4745,ACH-000145
7157,ACH-000145
